사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-03,2호선,0219,삼성(무역센터),178,2,"4,559","5,617","7,646","45,474","15,428","140,031","20,779","332,356","21,791","254,430","25,682","128,820","38,689","93,846","49,972","83,449","67,232","92,413","86,031","79,139","111,197","65,069","143,576","62,279","228,428","63,371","301,547","60,244","160,051","35,508","126,089","19,861","105,377","15,851","66,773","12,507","18,658","6,989","2,543","4,600",1,"1,104",0,1,0,0
2024-03,2호선,0220,선릉,165,3,"4,678","6,093","11,855","42,036","22,977","116,594","36,901","272,812","35,390","212,750","38,711","105,653","48,662","67,390","58,356","63,332","68,816","73,309","79,111","60,540","100,057","53,667","127,597","53,078","197,218","60,167","285,775","62,221","150,508","40,139","96,939","25,740","92,061","22,000","76,938","20,147","27,343","12,060","4,070","5,082",4,50,0,0,0,0
2024-03,2호선,0221,역삼,48,3,"3,550","7,644","9,615","42,344","16,277","155,007","26,989","367,963","25,818","295,761","26,886","126,834","34,989","70,317","42,860","63,627","52,853","71,271","61,746","54,081","82,433","48,193","103,640","45,580","217,729","54,735","275,005","60,711","154,036","39,787","91,377","24,587","85,213","20,330","56,395","17,433","21,735","10,865","3,674","3,495",1,8,0,0,0,0
2024-03,2호선,0222,강남,160,11,"8,655","12,033","18,221","55,207","40,387","158,391","63,749","306,120","55,464","318,875","58,090","155,293","76,033","109,319","92,545","107,640","108,792","123,821","119,338","109,792","145,423","104,716","172,540","113,979","250,093","146,469","317,800","186,487","216,856","113,971","173,723","62,212","196,571","50,420","171,155","41,116","78,222","25,058","12,818","6,649",2,16,0,0,0,0
2024-03,2호선,0223,교대(법원.검찰청),20,0,"2,350","6,793","11,468","26,428","26,242","58,111","37,807","156,187","30,405","132,621","29,320","70,049","33,850","62,524","36,042","57,339","43,683","59,750","52,256","52,882","55,760","49,950","59,668","52,853","96,273","67,841","131,743","75,728","65,615","44,392","56,230","27,839","54,773","25,685","43,427","23,983","16,904","13,278","3,004","3,648",0,25,0,0,0,0
2024-03,2호선,0224,서초,4,1,"2,040","4,988","9,424","21,657","19,747","55,235","30,182","112,284","29,273","92,909","23,279","46,505","31,154","38,446","28,623","27,419","37,936","29,223","38,683","27,030","44,903","23,060","50,752","24,965","74,075","27,547","93,622","28,270","46,846","19,993","32,839","12,829","31,275","11,594","18,542","11,818","6,257","6,540",819,"1,518",2,8,0,1,0,0
2024-03,2호선,0225,방배,9,0,"2,382","2,916","8,840","11,565","22,799","27,694","31,331","80,003","25,437","59,134","20,611","38,046","22,240","29,495","25,849","30,502","28,673","26,010","31,956","26,637","35,805","24,470","44,977","25,777","54,642","32,401","66,291","37,303","32,003","25,958","24,867","17,595","23,307","16,357","18,678","16,709","6,961","9,152","1,502","2,731",1,14,0,0,0,0
2024-03,2호선,0226,사당,101,8,"12,713","4,063","29,174","33,491","79,963","49,630","99,503","71,672","79,450","55,466","54,644","49,990","49,304","62,531","56,110","62,067","59,069","56,104","66,568","56,529","69,198","69,341","71,079","90,891","84,119","133,211","102,544","177,949","73,816","119,229","70,995","75,370","75,840","69,673","70,430","64,621","38,266","41,018","5,938","11,298",9,674,0,0,0,0
2024-03,2호선,0227,낙성대(강감찬),31,1,"11,804","2,277","27,423","9,958","84,392","22,526","122,861","46,446","83,124","37,854","47,754","32,120","41,631","27,987","45,096","28,734","44,897","31,929","41,069","33,797","41,184","40,771","44,943","47,460","49,932","64,099","55,763","103,731","32,247","86,225","25,819","58,788","24,246","56,029","18,836","56,300","10,350","34,461","1,726","9,206",3,220,0,0,0,0
2024-03,2호선,0228,서울대입구(관악구청),"4,905",27,"28,036","2,418","43,377","14,234","127,122","30,065","165,787","76,489","118,980","63,977","71,815","58,495","63,483","50,895","71,229","54,288","76,723","59,029","68,470","60,520","73,645","69,089","79,931","83,122","89,919","113,244","98,056","175,579","61,680","140,531","53,215","89,250","54,497","84,882","48,888","84,909","26,734","50,111","4,366","19,434",0,"3,233",0,0,0,0
2024-03,2호선,0229,봉천,69,1,"15,582","1,914","29,656","7,660","85,999","13,913","118,346","27,038","76,194","21,532","45,318","19,968","36,326","22,518","39,569","24,851","38,305","27,012","34,034","30,586","31,412","39,692","33,894","46,339","33,228","59,640","33,570","89,179","21,438","75,524","17,828","48,353","15,107","45,566","11,557","42,075","5,030","25,253",862,"8,378",1,272,0,0,0,0
2024-03,2호선,0230,신림,212,9,"37,986","4,076","67,417","17,556","183,246","28,594","262,997","44,075","164,439","43,817","95,926","42,615","80,993","47,163","85,801","51,148","81,214","59,442","74,370","66,346","72,045","82,716","77,380","103,665","80,541","138,371","81,831","219,925","56,947","191,435","48,057","127,018","44,881","122,792","38,654","111,637","22,069","72,588","4,223","21,563",2,61,0,0,0,0
2024-03,2호선,0231,신대방,200,9,"24,341","1,953","34,926","9,491","90,422","14,935","131,635","25,575","85,359","19,222","49,212","19,270","40,754","20,565","40,153","23,119","38,355","27,699","33,424","31,739","31,702","42,763","33,410","50,180","35,432","64,667","33,217","95,445","21,855","80,989","16,839","57,596","13,643","61,778","10,628","57,223","5,276","32,810",867,"9,176",9,23,0,1,0,0
2024-03,2호선,0232,구로디지털단지,295,18,"39,137","4,910","52,534","19,360","141,456","80,231","181,947","220,621","118,297","136,179","73,782","57,541","67,371","47,213","73,656","51,048","73,216","61,526","65,867","61,417","70,101","70,175","82,877","87,178","133,217","113,465","199,262","165,329","100,182","133,049","65,517","89,743","54,555","88,979","41,590","84,893","19,322","50,440","3,323","13,787",1,93,0,0,0,0
2024-03,2호선,0233,대림(구로구청),620,20,"36,093","3,108","29,441","10,169","68,285","22,124","92,844","54,689","64,128","36,675","42,644","35,506","38,036","38,799","39,458","35,639","38,251","35,318","36,294","36,297","37,864","44,984","40,028","54,495","46,259","63,682","51,075","70,202","28,012","53,322","19,937","40,479","15,482","50,091","11,308","46,685","5,849","23,384",674,"5,732",1,153,0,0,0,0
2024-03,2호선,0234,신도림,"3,693",11,"36,219","5,078","53,546","20,398","139,637","46,750","149,101","109,698","96,080","73,671","66,739","68,502","64,953","70,490","73,959","71,703","77,269","76,627","79,216","73,672","84,919","81,193","90,754","96,992","111,528","123,416","129,475","179,339","78,165","126,618","65,887","80,054","66,197","73,865","52,409","68,598","23,119","51,713","2,409","21,871",15,"2,787",0,0,0,0
2024-03,2호선,0235,문래,32,0,"4,095","2,542","14,395","10,708","44,536","37,138","51,051","134,171","28,886","64,691","22,405","27,823","22,391","24,578","26,657","27,232","27,503","29,058","27,886","28,307","31,023","29,331","37,300","34,268","63,088","43,109","112,027","63,153","42,786","44,116","30,854","24,442","32,257","21,403","25,251","19,147","11,968","11,408","1,937","3,697",1,74,0,0,0,0
2024-03,2호선,0236,영등포구청,49,2,"5,211","4,246","13,063","16,475","41,166","38,941","49,257","125,585","31,355","52,826","24,278","28,797","25,876","26,708","29,030","27,943","29,935","29,927","31,380","28,918","36,086","29,931","42,596","34,038","60,263","41,557","102,242","59,720","39,555","40,879","31,063","25,053","28,990","22,845","20,977","20,434","9,685","13,417","1,472","4,467",0,134,0,0,0,0
2024-03,2호선,0237,당산,50,4,"6,876","3,560","16,281","12,442","45,615","28,046","56,663","72,861","36,493","33,354","27,050","18,830","25,662","17,333","26,157","20,543","25,319","23,062","22,879","23,569","24,488","28,250","28,704","35,576","42,590","50,109","56,296","73,071","25,872","50,798","20,406","34,160","20,632","33,503","17,037","30,645","8,271","20,508","1,175","4,751",0,131,0,0,0,0
2024-03,2호선,0238,합정,79,6,"10,602","2,852","18,511","13,458","44,018","30,798","55,329","94,127","39,555","84,338","30,301","55,440","32,793","53,211","38,472","58,999","43,428","67,148","47,075","60,767","52,312","62,911","61,526","72,476","81,767","91,106","118,287","120,399","83,125","83,074","70,428","46,929","78,203","37,784","69,898","32,872","36,969","23,200","5,267","8,101",2,163,0,0,0,0
2024-03,2호선,0239,홍대입구,"1,256",41,"28,706","3,643","32,046","17,703","63,352","42,069","81,371","115,129","65,705","151,791","60,908","118,291","68,919","138,479","80,143","162,839","93,232","179,237","104,988","169,551","130,250","174,668","164,256","183,536","192,661","217,711","218,076","253,940","185,695","184,053","183,320","112,411","212,757","89,270","203,564","72,914","104,875","52,254","12,142","18,572",4,"2,146",0,2,0,0
2024-03,2호선,0240,신촌,108,11,"8,015","3,082","15,028","16,432","37,577","36,948","55,468","91,733","41,846","106,015","41,254","78,838","48,803","69,135","60,319","72,415","66,440","79,591","69,445","67,879","79,639","66,211","95,781","73,370","112,485","100,591","106,845","130,373","78,823","84,623","81,475","51,992","89,997","45,579","89,735","40,332","45,390","27,779","7,064","6,697",2,38,0,0,0,0
2024-03,2호선,0241,이대,41,0,"3,816",916,"9,945","6,729","29,066","15,147","38,890","47,267","25,759","56,401","21,210","47,750","23,175","30,822","30,664","36,823","32,011","37,928","31,302","27,960","42,754","29,618","44,206","31,611","55,274","40,813","49,996","52,805","30,503","37,605","26,426","26,079","28,240","26,534","20,247","26,169","6,985","18,451",823,"4,827",0,32,0,0,0,0
2024-03,2호선,0242,아현,12,2,"5,015",770,"11,437","4,385","31,715","12,507","43,647","23,082","26,547","14,180","18,712","13,307","17,477","10,892","19,041","12,904","18,809","14,301","16,887","15,614","18,154","17,317","24,596","19,831","21,782","26,381","21,798","35,454","13,702","27,157","10,067","18,586","7,655","17,971","5,947","16,579","2,396","10,238",399,"2,677",1,28,0,0,0,0
2024-03,2호선,0243,충정로(경기대입구),43,4,"3,156","1,008","7,097","6,324","16,792","25,483","22,709","61,580","15,849","28,619","12,268","13,722","12,974","11,616","13,461","12,045","14,254","13,948","14,139","12,532","15,957","12,885","18,316","14,394","31,646","17,942","47,211","22,747","15,956","16,380","11,546","11,766","10,754","11,423","7,322","10,151","3,257","6,737",589,"1,921",5,58,0,1,0,0
